ventana,metrica,canal,condicion,hemisferio,n_control,n_alcoholic,control_media,control_sd,alcoholic_media,alcoholic_sd,diferencia
c320 (290-340 ms),media_c320,TP8,S2 nomatch,derecho,45,77,-0.1516350726419255,5.471780616194,-1.9508892898954024,3.014559532042692,1.799254217253477
c320 (290-340 ms),media_c320,P7,S1 obj,izquierdo,45,77,5.463990637729467,5.0074943573544655,0.48680154294490197,2.857973662878055,4.977189094784565
c320 (290-340 ms),media_c320,P7,S2 nomatch,izquierdo,45,77,1.650315415717955,6.841824116618603,-1.8168338700976185,3.3932052219402817,3.4671492858155735
c320 (290-340 ms),media_c320,PO7,S1 obj,izquierdo,45,77,7.008644188808091,6.382007650762652,0.6596789004220268,3.4844954147421747,6.348965288386064
c320 (290-340 ms),media_c320,PO7,S2 nomatch,izquierdo,45,77,2.778390507408399,7.727404064560366,-2.2256420552088723,4.085919015288656,5.0040325626172715
c320 (290-340 ms),media_c320,T7,S1 obj,izquierdo,45,77,1.3072015125981544,2.8260190930935774,-0.16196526424246246,1.9498939282030445,1.469166776840617
c320 (290-340 ms),media_c320,T7,S2 nomatch,izquierdo,45,77,-2.143878852863598,3.9751483822033853,-1.931833042943184,2.7307372058932664,-0.21204580992041389
c320 (290-340 ms),media_c320,TP7,S1 obj,izquierdo,45,77,2.972991994588764,3.2599787754005587,0.20707252867505369,2.2683899292737224,2.7659194659137105
c320 (290-340 ms),media_c320,TP7,S2 nomatch,izquierdo,45,77,-0.5226600137430352,5.004087211193913,-1.8147581723950836,2.7919898180364253,1.2920981586520486
AUC c240 (220-260 ms),auc_c240,P8,S1 obj,derecho,45,77,219.70738921165002,225.03208983976444,-28.690119078981905,153.58228325362626,248.39750829063192
AUC c240 (220-260 ms),auc_c240,P8,S2 nomatch,derecho,45,77,202.26889736340206,256.5995454203108,-76.65793213636768,163.20992259246518,278.9268294997697
AUC c240 (220-260 ms),auc_c240,PO8,S1 obj,derecho,45,77,311.5857057790203,306.6113592807248,-5.053937222768448,186.8647997428233,316.6396430017888
AUC c240 (220-260 ms),auc_c240,PO8,S2 nomatch,derecho,45,77,259.15631988235043,334.73577250284717,-53.45791748922183,207.00232102528184,312.61423737157224
AUC c240 (220-260 ms),auc_c240,T8,S1 obj,derecho,45,77,5.1522079123689455,124.915109876321,-51.87244936272505,75.50048345415073,57.02465727509399
AUC c240 (220-260 ms),auc_c240,T8,S2 nomatch,derecho,45,77,-20.834476248777722,156.0430662612155,-99.60068969891695,117.6399818700576,78.76621345013923
AUC c240 (220-260 ms),auc_c240,TP8,S1 obj,derecho,45,77,96.80759984498438,152.1921422773146,-44.92235809668477,107.59509580970973,141.72995794166914
AUC c240 (220-260 ms),auc_c240,TP8,S2 nomatch,derecho,45,77,77.85430158234007,202.48873667474822,-85.33522762857488,131.64209081994156,163.18952921091494
AUC c240 (220-260 ms),auc_c240,P7,S1 obj,izquierdo,45,77,181.97115713103807,191.78286295122095,-27.917600999402307,150.4964287245911,209.88875813044038
AUC c240 (220-260 ms),auc_c240,P7,S2 nomatch,izquierdo,45,77,186.9876903333728,239.449725311139,-31.403454301617046,153.95868221052737,218.39114463498984
AUC c240 (220-260 ms),auc_c240,PO7,S1 obj,izquierdo,45,77,276.8955974056307,259.2584188426848,-2.7232000285008935,174.38314397781392,279.61879743413164
AUC c240 (220-260 ms),auc_c240,PO7,S2 nomatch,izquierdo,45,77,245.3276175003157,291.458245825517,-12.886157886150354,184.42348275681215,258.21377538646607
AUC c240 (220-260 ms),auc_c240,T7,S1 obj,izquierdo,45,77,-14.078320009557974,119.36065653579027,-52.53671080712965,83.00573213196031,38.45839079757168
AUC c240 (220-260 ms),auc_c240,T7,S2 nomatch,izquierdo,45,77,-3.2003082780323098,151.47482363763328,-73.42804087147282,98.2939156231669,70.2277325934405
AUC c240 (220-260 ms),auc_c240,TP7,S1 obj,izquierdo,45,77,57.17726644629288,136.27310890505547,-45.18495531366062,105.01555280720328,102.36222175995351
AUC c240 (220-260 ms),auc_c240,TP7,S2 nomatch,izquierdo,45,77,74.82098978320559,176.4982074796453,-53.28637970549756,114.12634073747574,128.10736948870314
latencia c240,lat_max_c240,P8,S1 obj,derecho,45,77,252.34375,13.361430762880524,254.26136363636363,12.224914009528687,-1.917613636363626
latencia c240,lat_max_c240,P8,S2 nomatch,derecho,45,77,251.12847222222223,14.487688589272002,250.7609577922078,14.240678368338525,0.3675144300144382
latencia c240,lat_max_c240,PO8,S1 obj,derecho,45,77,251.12847222222223,11.22362601016143,253.44967532467533,11.37047625019976,-2.3212031024530972
latencia c240,lat_max_c240,PO8,S2 nomatch,derecho,45,77,244.35763888888889,15.68161696376267,247.31128246753246,15.421419184158678,-2.953643578643579
latencia c240,lat_max_c240,T8,S1 obj,derecho,45,77,250.26041666666666,16.178924270605176,249.1883116883117,16.673516938416174,1.0721049783549574
latencia c240,lat_max_c240,T8,S2 nomatch,derecho,45,77,248.52430555555554,16.57885916045445,246.75324675324674,16.77034937698498,1.7710588023088008
latencia c240,lat_max_c240,TP8,S1 obj,derecho,45,77,251.82291666666666,14.582593494490895,253.04383116883116,14.064546871994919,-1.2209145021645043
latencia c240,lat_max_c240,TP8,S2 nomatch,derecho,45,77,253.64583333333334,13.413239529408825,250.65949675324674,14.79881146357248,2.9863365800866006
latencia c240,lat_max_c240,P7,S1 obj,izquierdo,45,77,253.55902777777777,12.234797178333178,254.10917207792207,10.807797244355495,-0.5501443001442965
latencia c240,lat_max_c240,P7,S2 nomatch,izquierdo,45,77,247.39583333333334,13.935665390872574,248.88392857142858,14.993632023726704,-1.4880952380952408
latencia c240,lat_max_c240,PO7,S1 obj,izquierdo,45,77,249.91319444444446,12.61622791152702,252.48579545454547,11.648450925341006,-2.5726010101010104
latencia c240,lat_max_c240,PO7,S2 nomatch,izquierdo,45,77,243.83680555555554,15.344808634456587,247.8693181818182,13.55455796073465,-4.032512626262644
latencia c240,lat_max_c240,T7,S1 obj,izquierdo,45,77,251.82291666666666,14.12352604437491,247.36201298701297,16.85440869570146,4.460903679653683
latencia c240,lat_max_c240,T7,S2 nomatch,izquierdo,45,77,247.82986111111111,16.64704989012143,242.89772727272728,17.908841519007606,4.932133838383834
latencia c240,lat_max_c240,TP7,S1 obj,izquierdo,45,77,252.69097222222223,13.346426344039866,251.67410714285714,13.773246300180716,1.0168650793650897
latencia c240,lat_max_c240,TP7,S2 nomatch,izquierdo,45,77,248.87152777777777,14.511605768513178,246.44886363636363,16.30635385094048,2.4226641414141454
latencia c320,lat_max_c320,P8,S1 obj,derecho,45,77,317.4479166666667,20.457442877962865,317.1672077922078,19.85786690037223,0.28070887445886683
latencia c320,lat_max_c320,P8,S2 nomatch,derecho,45,77,302.43055555555554,20.30582155168534,303.82508116883116,17.761328028276175,-1.3945256132756185
latencia c320,lat_max_c320,PO8,S1 obj,derecho,45,77,312.93402777777777,20.112484663479535,310.7751623376623,21.296591747981825,2.1588654401154486
latencia c320,lat_max_c320,PO8,S2 nomatch,derecho,45,77,305.7291666666667,21.025906259181465,302.3538961038961,17.563953308915043,3.375270562770595
latencia c320,lat_max_c320,T8,S1 obj,derecho,45,77,323.78472222222223,16.132176684067538,317.9788961038961,19.09735707161183,5.805826118326138
latencia c320,lat_max_c320,T8,S2 nomatch,derecho,45,77,303.21180555555554,19.748242209167806,304.5353084415584,16.734862463606206,-1.3235028860028706
latencia c320,lat_max_c320,TP8,S1 obj,derecho,45,77,321.52777777777777,17.877854615292005,317.7252435064935,18.985068645048248,3.802534271284287
latencia c320,lat_max_c320,TP8,S2 nomatch,derecho,45,77,303.6458333333333,20.525138108894772,304.28165584415586,16.974802713325246,-0.6358225108225497
latencia c320,lat_max_c320,P7,S1 obj,izquierdo,45,77,316.2326388888889,21.21564167088189,314.5292207792208,19.588837692204613,1.703418109668121
latencia c320,lat_max_c320,P7,S2 nomatch,izquierdo,45,77,304.60069444444446,21.305897496943246,304.788961038961,20.138324697047796,-0.1882665945165627
latencia c320,lat_max_c320,PO7,S1 obj,izquierdo,45,77,313.8020833333333,20.936651950260906,312.7029220779221,21.111028877817215,1.099161255411218
latencia c320,lat_max_c320,PO7,S2 nomatch,izquierdo,45,77,306.59722222222223,20.897229783733398,303.3685064935065,18.697354365824253,3.228715728715713
latencia c320,lat_max_c320,T7,S1 obj,izquierdo,45,77,320.22569444444446,20.134313389799555,319.60227272727275,18.922750409176686,0.6234217171717091
latencia c320,lat_max_c320,T7,S2 nomatch,izquierdo,45,77,303.2986111111111,19.86845897621772,305.80357142857144,19.805406682767988,-2.504960317460359
latencia c320,lat_max_c320,TP7,S1 obj,izquierdo,45,77,319.87847222222223,20.9734281106084,317.52232142857144,19.072081458188862,2.3561507936507837
latencia c320,lat_max_c320,TP7,S2 nomatch,izquierdo,45,77,302.77777777777777,20.88062813502341,305.955762987013,19.40172469183916,-3.177985209235203
c240 inh.,media_c240,P8,S1 obj,derecho,45,77,3.9169810668753726,4.969265343942335,-0.88392183972857,3.054192206934791,4.800902906603943
c240 inh.,media_c240,P8,S2 nomatch,derecho,45,77,2.48172332830614,5.665286585654132,-2.3778639723481074,2.8038902765121634,4.859587300654248
c240 inh.,media_c240,PO8,S1 obj,derecho,45,77,4.828228541440496,7.077182160977931,-0.7551354316657597,3.6004205235940447,5.583363973106255
c240 inh.,media_c240,PO8,S2 nomatch,derecho,45,77,3.494983650916133,7.108570000915978,-2.236431893076237,3.3586407462613916,5.7314155439923695
c240 inh.,media_c240,T8,S1 obj,derecho,45,77,0.5092218966127782,2.680618278539893,-0.5199335594537828,1.76546736612526,1.029155456066561
c240 inh.,media_c240,T8,S2 nomatch,derecho,45,77,-1.0339877895179075,3.300049799057096,-1.918778786553418,2.273435959331336,0.8847909970355106
c240 inh.,media_c240,TP8,S1 obj,derecho,45,77,2.1107061192419443,3.2382579270113734,-0.6771499803217088,2.269196179026391,2.787856099563653
c240 inh.,media_c240,TP8,S2 nomatch,derecho,45,77,0.9305019379408586,4.333800252232233,-2.0611856781727855,2.2663609375185865,2.9916876161136443
c240 inh.,media_c240,P7,S1 obj,izquierdo,45,77,3.069132502045401,4.470776642234503,-0.98872836199408,2.9091758847097093,4.057860864039481
c240 inh.,media_c240,P7,S2 nomatch,izquierdo,45,77,2.509080923285431,5.592640503285813,-1.4467736938515734,2.533747857620923,3.9558546171370046
c240 inh.,media_c240,PO7,S1 obj,izquierdo,45,77,4.177657864099037,6.106431727496816,-0.5782733662992485,3.327320351466657,4.755931230398286
c240 inh.,media_c240,PO7,S2 nomatch,izquierdo,45,77,3.5903512571141087,6.738972890405166,-1.2003876340178559,3.2089910078757935,4.790738891131965
c240 inh.,media_c240,T7,S1 obj,izquierdo,45,77,0.2890566324331371,2.450957923448973,-0.7989170998482332,1.6658088184534352,1.0879737322813703
c240 inh.,media_c240,T7,S2 nomatch,izquierdo,45,77,-0.7240881159981221,3.2977496534008375,-1.6001629438101885,2.0353576429386937,0.8760748278120665
c240 inh.,media_c240,TP7,S1 obj,izquierdo,45,77,1.1404351246473552,2.8907143728913085,-0.8052247758601041,1.9944089496124258,1.9456599005074593
c240 inh.,media_c240,TP7,S2 nomatch,izquierdo,45,77,0.4546244851176384,3.8070494233764505,-1.4366976934925269,2.0949815371423157,1.8913221786101653
